,単語,意味
80,produce,"農作物／製造する,農産物、物産,農作物,〜を生産する,生産する"
81,allow,"許す,許す、可能にする,〜を許す,許可する"
82,representative,"代表者,担当者、代表者,代表者,代表者"
83,check,"調べる,（~を）確認する、チェックする,小切手,点検する、会計"
84,leave,"去る,休暇、許可,休憩,〜を残す,去る、残す"
85,issue,"問題／発行する,課題、論争点,問題,問題,問題"
86,price,"価格,価格、値段／~に値段をつける,価格"
87,last,"続く,続く、待つ,最後の"
88,promote,"促進する,昇進させる、宣伝する,推進する、昇進する"
89,hold,"保有する,開催する,開催した"
90,idea,"考え,考え,アイデア"
91,industry,"産業,産業、業界,業界"
92,feature,"特徴,特集、特徴,特徴,〜を呼び物にする,特徴"
93,replacement,"取り替え,交換、交換品、後任,交代,交換"
94,pay,"支払う,給料,支払う"
95,update,"更新する,更新する、改訂する,〜を更新する"
96,director,"担当責任者,取締役,監督"
97,hire,"雇う,~を雇う、賃借りする,〜を雇う,雇う"
98,floor,"階,床"
99,course,"課程,コース"
100,museum,"博物館,美術館、博物館,博物館"
101,recommend,"推薦する,推薦する,〜を勧める,お勧めする"
102,great,"優れた,すばらしい"
103,install,"取り付ける,インストールする,〜をインストールする"
104,member,"メンバー,メンバー"
105,size,"大きさ,サイズ、寸法"
106,management,"経営／管理,経営（陣）、管理,管理、経 営、経営陣,管理"
107,review,"見直し／見直す,検討する、論評する／検討、論評,〜を再検討（再調査）する,レビュー、復習"
108,sincerely,"敬具,心から、心底,誠実に、敬具"
109,logo,"ロゴ,ロゴ,ロゴ"
110,revise,"改める,~を修正する、改訂する,～を修正する、改訂する"
111,corporate,"企業の,企業の、法人の,協力する"
112,construction,"建設／工事,建設,建設,建設"
113,deadline,"締め切り,締め切り、期限,締め切り,締め切り"
114,sign,"標識／署名する,表れ、徴候,兆候,〜に署名する,署名"
115,replace,"取って代わる,~を取り替える,〜を交換する,交換する"
116,find,"見つける,気づく、発見する,見つける"
117,register,"記録する,登録する／レジ,〜に登録する,登録する"
118,merchandise,"商品,商品,商品,商品"
119,important,"重要な,重要な、重大な,重要な,重要な、大切な"
120,open,"開ける,開く"
121,facility,"施設,施設、設備,施設,施設"
122,identification,"身分証明書,身分証明,身分証"
123,instead,"その代りに,代わりに,その代わりに,代わりに"
124,before,"〜よりも前に,～の前に"
125,remember,"覚えている,思い出す"
126,public,"公衆の,一般の人々、公衆,世間(市民),公共の,公共"
127,submit,"提出する,提出する,〜を提出する,提出する"
128,vacation,"休暇,休日,休暇"
129,guest,"客,ゲスト"
130,award,"賞,賞／授与する,賞,賞"
131,discuss,"話し合う,〜を話し合う,議論する"
132,cost,"費用／費用がかかる,費用がかかる（費用）,費用、経費,費用,費用"
133,wait,"待つ,待つ,待つ"
134,entrance,"入り口,入り口、入学,入り口"
135,program,"番組,プログラム"
136,read,"読む,読む、読んだ"
137,choose,"選ぶ,選ぶ"
138,however,"しかしながら,しかしながら"
139,free,"無料の／自由な,自由な"
140,ticket,"入場券,チケット"
141,expand,"拡大する,拡大する,〜を拡大する,拡大"
142,application,"申し込み,応募書類、応募、申請,申し込み,応募(書類)"
143,item,"項目／品目,項目、品物,項目、品"
144,résumé,"履歴書,履歴書,履歴書"
145,vehicle,"乗り物,乗り物、車両,乗り物,車両、車"
146,park,"公園／駐車する,公園、停める"
147,council,"議会,議会,会議"
148,book,"予約する,予約する,本"
149,candidate,"志願者,候補者,候補者,候補者,候補者"
150,complete,"完成させる,完了する、記入する,〜を完成させる,完了する"
151,discount,"割引,割引／~を無視する,ディスカウント"
152,quality,"質,質,品質"
153,payment,"支払い,支払い,支払い"
154,arrange,"取り決める／並べる,手配する、並べる,〜を整理する,手配する"
155,different,"異なった,違う,異なる"
156,project,"プロジェクト,見積もる、計画する,〜を予想する,プロジェクト"
157,few,"ほとんどない,わずかな,わずかな"
158,after,"〜の後で,～の後で"
159,subject,"表題,科目、（議論などの）題目,主題"
160,already,"既に,すでに"
161,require,"必要とする,要求する、義務付ける,要求する,要求する"
162,due,"支払い期限のきた,期限の,支払期日が来て,納期、期限の"
163,consider,"よく考える,考える、検討する,〜を考慮する,考慮する"
164,ship,"船／配送する,出荷する、発送する,〜を発送する,船"
165,possible,"可能な,可能な,可能性"
166,local,"地元の,地元の／地元の人,地元の,ローカル、地方の"
167,area,"地域,エリア、場所"
168,into,"…の中に,～の中へ"
169,delivery,"配達,配達（物）,配送,郵送、配達"
170,professional,"専門的な,プロの"
171,buy,"買う,買う"
172,carry,"運ぶ,扱う、運ぶ、所有する,〜を扱っている,運ぶ"
173,belong,…に付属する
174,type,"種類／類型,種類"
175,since,"…以来,それ以来"
176,colleague,"同僚,同僚,同僚"
177,request,"要請／依頼,依頼／~を依頼する,要求する,要望、要望する"
178,material,"材料／原料,原料、素材,材料,材料"
179,fee,"謝礼,料金,料金,手数料"
180,each,"それぞれの,各々"
181,benefit,"利益,利益を得る／特典、福利厚生,給付,利益を得る"
182,furniture,"家具,家具,家具"
183,again,"再び,再び"
184,set,"配置する,設置する、セット"
185,during,"…の間に,～の間"
186,sorry,"すまなく思って,残念に思う"
187,financial,"財政上の,金銭上の、財政の、お金の,財政の,金融"
188,be interested in,…に興味を持っている
189,attend,"出席する,出席する、参加する,出席する"
190,maintenance,"整備,管理、維持,メンテナンス"
191,supply,"供給する,必需品／供給する,供給,供給する"
192,welcome,"歓迎,歓迎される、自由に~してよい,〜を歓迎する,歓迎"
193,conduct,"行う,~を行う、導く、実行する、実施する,〜を行う"
194,report,"報告書／報告する,報告する、直属する,報告(書),レポート"
195,begin,"始める,〜を始める,開始する"
196,whether,"…かどうか,~かどうか,～かどうか"
197,upcoming,"まもなくやって来る,今度の,今度の,次期、次の"
198,purpose,"目的／意図,目的、目標,目的,目的"
199,research,"研究,研究、調査／研究する、調査する,研究,研究、研究する"
200,large,"大きい／広い,大きい"
201,encourage,"励ます,勧める、促す,奨励する"
202,finish,"…を終える,仕上げ、終わる"
203,send,"送る,送る"
204,charge,"料金／請求する,を請求する、を充電する／料金、責任,料金,充電"
205,decision,"決定,決定、決定事項,決定,決定、決心"
206,inventory,"在庫,在庫"
207,publish,"出版する,出版する,〜を出版する"
208,think,"…と思う,考える"
209,reception,"受付,歓迎会、パーティー、受領,歓迎会"
210,display,"陳列,展示／展示する,〜を展示する,表示する"
211,both,"両方の,両方"
212,advance,"事前の,先行した、事前の／進歩、前進,進歩,進む、進歩する,進む、進歩"
213,always,"常に,常に、いつも"
214,plan,"計画,計画,計画"
215,ready,"用意ができた,準備ができている"
216,visit,"訪問する,訪問する、訪問"
217,document,"文書／記録する,記録する、文書を提供する／文書,文書、書類"
218,successful,"成功した,成功した、うまく行く,成功している"
219,class,"クラス／種類,クラス"
220,library,"図書館,図書館、蔵書、コレクション,図書館"
221,seminar,"研究会,セミナー、講義"
222,sell,"売る,売れる,売る"
223,close,"近い,近い,閉じる"
224,expect,"予期する,予期する、予定する,〜を期待する,予期する"
225,arrive,"到着する,到着する,到着する"
226,remove,"取り去る,取り除く,〜を剥がす,取り外す"
227,position,"位置,位置、地位、職,地位,位置"
228,talk,"話す,会談,話す、話"
229,describe,"説明する,説明する、描写する,〜を描写する、説明する,説明する、描く"
230,flight,"飛行,飛行"
231,repair,"修理する,修理／修理する,〜を修理する,修理、修理する"
232,training,"訓練,訓練"
233,a lot of,たくさんの
234,learn,"学ぶ／知る,学ぶ"
235,unfortunately,"残念ながら,残念なことに、残念ながら,残念なことに,不運にも"
236,people,"人々,人々"
237,cancel,"取り消す,〜を中止する,キャンセル"
238,include,"含む,含む,含む"
239,location,"場所,場所,場所"
240,client,"顧客,顧客、クライアント、取引先,顧客,クライアント、顧客"
241,place,"場所／設置する,置く,場所"
242,travel,"行く,旅行"
243,though,"けれども／たとえ…しても,～だけれども"
244,board,"役員会,板、役員会／登場する,搭乗する,会議体、板"
245,write,"書く,書く"
246,feedback,"フィードバック,フィードバック、反応,フィードバック、反応、意見,フィードバック"
247,performance,"公演,業績、仕事ぶり、性能、公演,業績,動作、パフォーマンス"
248,soon,"すぐ後,まもなく"
249,per,…につき
250,catering,"仕出し業,仕出し、出前、ケータリング"
251,ensure,"確実にする,保証する、請け合う,〜を保証する,〜を保証する,保証する"
252,estimate,"見積もり／見積もる,見積もり／~を見積もる,見積もり,見積もる"
253,potential,"潜在的な,見込みがある、潜在的な／可能性,潜在的な,潜在的な"
254,remind,"気づかせる,再確認する、思い出させる,思い出させる"
255,intend,"…するつもりである,意図する"
256,delighted,"大いに喜んで,とても喜んでいる"
257,despite,"…にもかかわらず,~にもかかわらず,～にもかかわらず"
258,specialize in,…を専門に扱う
259,complimentary,"無料の,無料の、称賛する,無料の"
260,although,"…だけれども,～だけれども"
261,beverage,"水以外の飲み物,飲料,飲み物"
262,honor,"名誉／約束などを遵守する,称える、（契約等を）守る／名誉,光栄,名誉"
263,mayor,"市長,町長、市長,市長"
264,venue,"会場,会場、開催地"
265,immediately,"ただちに,すぐに、即座に,すぐに,すぐに"
266,sound,"…に思われる,適切な"
267,contemporary,"現代の,現代の、同時代の,現代の"
268,badge,バッジ
269,appliance,"(電気の)器具,電化製品,器具,アプライアンス"
270,assist,"助ける,アシスト"
271,inspection,"視察,（綿密な）調査、視察,検査"
272,expire,"(有効期限が)切れる,期限が切れる,契約が終了する、切れる,有効期限の切れた"
273,necessary,"必要な,必要な,必要な,必要な"
274,associate,"同僚／関連付ける,関連付ける／同僚、アシスタント／アシスタントの,同僚"
275,paperwork,"文書業務,書類、書類作業"
276,Excuse me.,すいません
277,Let’s,…しよう
278,remain,"…のままである,残る、そのままでいる,〜のまま,とどまる"
279,correct,"訂正する／正しい,修正する、訂正する,正確な,正しい、修正する"
280,continue,"続ける,継続する"
281,certainly,"確かに,確かに,確かに、きっと,確かに"
282,fabric,"布地,生地、織物"
283,patient,"患者,患者,忍耐"
284,applicant,"応募者,志願者、応募者,候補者,出願人"
285,architect,"建築家,建築家,建築家"
286,attach,"添付する,添付する、取り付ける"
287,variety,"いろいろの,多様性,種類,様々な"
288,anyway,"いずれにせよ,とにかく,とにかく,とにかく"
289,conversation,"会話,会議,会話"
290,forget,"忘れる,忘れる"
291,shuttle,"シャトル便のバス,往復運転で運ぶ,シャトル"
292,appear,"…のように見える,~のように見える、現れる,〜のように見える（思える）,表示される、現れる"
293,crew,"乗組員,乗務員、乗組員,乗務員,乗組員"
294,vote,"投票,投票する、票決する,投票する,投票、投票する"
295,busy,"忙しい,忙しい"
296,coworker,"仕事仲間,（仕事の）同僚,同僚"
297,excellent,"非常に優れた,素晴らしい,優れた,優れた"
298,grocery,"食料品店,食品雑貨の／食品雑貨,食料雑貨店"
299,save,"たくわえる,〜を貯蓄する、取っておく,保存する、貯蓄する"
300,cause,"原因／引き起こす,引き起こす、もたらす／原因,原因,〜を引き起こす,原因"
301,attract,"引き寄せる,~をひきつける、魅了する,引き付ける"
302,launch,"開始する,開始、発売／開始する、発売する"
303,status,"地位／状態,状況、地位,地位、状況,地位"
304,procedure,"手順,手続き、手順,手続き"
305,invitation,"招待,招待（状）,招待"
306,lobby,"玄関ホール,ロビー"
307,realize,"よくわかる／実現する,〜を実現する"
308,effort,"努力,努力,努力"
309,mainly,"主に,主に,主に"
310,campaign,"キャンペーン,キャンペーン,キャンペーン"
311,key,"手がかり,鍵"
312,proposal,"提案,提案、提案書,提案,提案"
313,greet,"挨拶をする,挨拶する、出迎える"
314,negotiate,"…と交渉する,交渉する、協議する"
315,quantity,"数量,量、分量,量"
316,behind,"…の後ろに,～の後ろに"
317,comfortable,"快適な,快適な、楽な、自信がある,くつろいだ、快適な,快適な"
318,expensive,"値段が高い,高価な,高価な"
319,head,"長,進む、を率いる,〜を率いる,頭"
320,appreciate,"ありがたく思う,感謝する、高く評価する,感謝する"
321,branch,"支店,支店,支社,枝"
322,investment,"投資すること,投資,投資,投資"
323,deposit,"頭金,頭金、保証金／預け入れる,預金、預金する"
324,difficult,"難しい,難しい"
325,temporary,"一時の,一時的な"
326,protection,"保護,保護"
327,wish,"…すればよいのだが,願う、願い"
328,film,"映画,映画"
329,condition,"状態,状態,条件"
330,device,"装置,機器、装置,装置,機器、装置"
331,personnel,"人事部,社員、人事部,職員、人事課,人事"
332,professor,"教授,教授"
333,complaint,"不満,苦情、クレーム,苦情,苦情"
334,multiple,"多数の,複数の"
335,exchange,"交換する,交換する、両替する,交換,交換、交換する"
336,manage,"どうにかやり遂げる,経営する,管理する"
337,favorite,"お気に入りの,お気に入りの、大好きな,お気に入り"
338,quite,"とても,かなり、すっかり,とても,かなり"
339,distance,"距離,距離,距離"
340,luggage,"手荷物,旅行かばん、手荷物,荷物"
341,admission,"入学／入会,入場、入場料、入場許可,入学,入場許可"
342,inquire,"尋ねる,尋ねる、問い合わせる"
343,ingredient,"食材,（料理の）材料,成分"
344,technique,"テクニック,技術"
345,attention,"注意,注意、留意,注意,注目"
346,consultant,"コンサルタント,コンサルタント、顧問,コンサルタント、顧問"
347,postpone,"延期する,延期する,〜を延期する,延期する"
348,revenue,"総収益,収支、歳入,歳入"
349,speech,"講演,演説"
350,highly,"非常に,非常に,非常に,高く"
351,term,"学期／専門用語,（契約の）条件、期間,条件※期間の意味もあ る,用語"
352,agenda,"協議事項,議題、議事日程,議題,議題"
353,demonstration,"実演,デモ"
354,competition,"競争,競争,競争"
355,specific,"具体的な,具体的な、特定の,特定の,特定の、特別な"
356,rather,"いくぶん,~よりむしろ,かなり,かなり"
357,impress,"感銘を与える,感心する、感動する,〜を感動させる,〜に感銘を与える"
358,fact,"事実,事実,事実"
359,signature,"署名,署名"
360,payroll,"従業員名簿／賃金台帳,給与、給与管理、賃金台帳"
361,acknowledge,"認める,知らせる、認める"
362,win,"勝つ／獲得する,勝つ"
363,seem,"…のように思われる,見える"
364,trouble,"故障／不調,トラブル"
365,convention,"大会,総会、大会,大会"
366,task,"仕事,仕事、課題,任務、使命,任務、仕事"
367,without,"…なしで,～なしで"
368,reschedule,"予定を変更する,予定を変更する,〜を予定変更する"
369,teach,"教える,教える"
370,handle,"取り扱う,〜を処理する,操作する"
371,distribute,"販売する,配布する、分配する,配布する"
372,suitable,"適した,適した、ふさわしい"
373,between,"…の間に,～の間に"
374,throughout,"…の到るところに,くまなく,～の至るところに"
375,choice,"選択,選択"
376,official,"公式の,役人、職員"
377,region,"地域,地域,,地域"
378,notify,"知らせる,知らせる,〜に通知する"
379,exercise,"運動／権利を行使する,使う、発揮する,運動,行使する,運動"
380,brochure,"小冊子,パンフレット,パンフレット,パンフレット、小冊子"
381,recognize,"認識する,認める、見分ける、認識する"
382,similar,"…と似ている,類似した,似ている,類似、似ている"
383,usual,"いつもの,普通の,いつもの"
384,artwork,芸術作品
385,secure,"安定した,~を確保する、固定する／安全な,安全"
386,lease,"賃貸借契約,賃貸借（契約）／賃貸借する"
387,excite,わくわくさせる
388,damage,"損害,損害／~に損害を与える,損害、ダメージ,損傷"
389,environment,"環境／状況,環境,環境,環境"
390,except,"…を除いて,~を除いて、~を除外して,除いて"
391,famous,"有名な,有名な"
392,nearly,"ほとんど,ほとんど、もう少しで,ほとんど,近く、ほとんど"
393,renew,"再開する,更新する,〜を更新する,更新する"
394,manual,"説明書／手作業の,マニュアル,マニュアル"
395,exceed,"…を超える,超える"
396,worry,"心配する,心配させる"
397,mind,"気にする,心、精神"
398,figure,"数／考える,数字、人物"
399,analysis,"分析,分析,分析"
400,search,"検索する,捜索、検索／探す、検索する,捜索,探す"
401,ability,"能力,能力、才能,能力,能力"
402,ideal,"理想的な,理想的な,理想的な,理想的な"
403,industrial,"産業の,工業用の"
404,advise,"助言する,助言する、意見する、忠告する,助言"
405,hard,"難しい,かたい、大変"
406,transfer,"移す／転任する,転勤させる、移す,〜を異動（移動）させる、送金する,転送する、乗り換える"
407,expo,博覧会
408,landscape,"景色,景観、地形,風景"
409,initiative,"主導権,新しい計画、主導権,主導権"
410,dining,"食事をすること,ダイニング"
411,laboratory,"実験室,研究所、実験室"
412,traditional,"伝統的な,伝統的な、従来の,伝統的な,伝統的な"
413,accommodate,"収容する,満たす、合わせる,〜をを収容する"
414,title,"表題,肩書き,タイトル"
415,further,"それ以上に,さらなる、さらに遠い,それ以上,それ以上の"
416,vendor,"供給メーカー,業者、露天商、販売店"
417,specialist,専門家
418,raise,"上げる／集める,を引き上げる、を持ち上げる,賃上げ,上げる"
419,spend,"費やす,〜を費やす,過ごす"
420,consumer,"消費者,消費者,消費者"
421,gain,"獲得する,~を得る、獲得する／利益、得ること,〜を得る,得る"
422,various,"さまざまな,さまざまな,様々な,様々な"
423,often,"たびたび,しばしば"
424,convenient,"便利な,都合のよい、便利な,便利な"
425,wear,"…を着ている,〜を着ている,着る"
426,previous,"以前の,前の、以前の,以前の,前の"
427,fix,"修理する,を修理する、~を固定する,〜を修理する,固定する"
428,standard,"基準,基準／標準の,標準"
429,solution,"解決策,解決策、解決,ソリューション"
430,else,"その他に,その他の"
431,understand,"理解する,〜を理解する,理解する"
432,tier,階層
433,together,"一緒に,いっしょに"
434,committee,"委員会,委員会,委員会,委員会"
435,congratulations,祝いの言葉
436,extend,"延長する,〜を延長する, 延長する "
437,avoid,"避ける,避ける,避ける"
438,strategy,"戦略,戦略,戦略,戦略"
439,inform,"知らせる,知らせる、告げる、影響を与える,〜に知らせる,知らせる"
440,especially,"とりわけ,特に,特に"
441,mistake,"誤り,ミス、失敗"
442,commercial,"営利的な,商業の、商業的な,商業の,商業の"
443,therefore,"したがって,したがって、ゆえに,したがって,だから"
444,recruit,"新入社員／採用する,採用する,〜を募集する"
445,topic,"話題,トピック、話題"
446,contain,"含む,含む、所有する,〜を含む,を含む"
447,organization,"組織,団体、会社、組織（化）,組織,組織"
448,responsible,"責任を負うべき／原因である,担当している、責任がある,責任のある"
449,bill,"請求書,請求書、紙幣／請求書を送る,請求書、手形,勘定、請求書"
450,either,"いずれか／どちらかの,どちらか一方の"
451,prefer,"好む,~の方を好む,〜を好む,好む"
452,interior,"内側,インテリア"
453,involve,"含む,（人を）巻き込む、伴う、含む"
454,executive,"重役,重役、取締役／重役（用）の、高級な,重役,幹部"
455,traffic,"交通,交通、通行,交通"
456,assign,"割り当てる,割り当てる、配属する,割り当てる、任命する,〜を割り当てる"
457,far from,…から遠くに
458,warranty,"保証,保証、保証書,保証,保証"
459,seek,"捜す,捜し求める"
460,nearby,"近くの,近くの"
461,effective,"効果的な,効果的な,効果的な,効果的な"
462,permit,"許可証／許可する,許可証／許可する,〜を認める、許可する"
463,attempt,"試みる,試み／~を試みる,努力する,試みる"
464,example,"例,例"
465,properly,"きちんと,ちゃんと、適切に,正しく"
466,base,"基礎／活動の中心を置く,~の本拠地を置く／土台,基地,基地"
467,clear,"明快な,片付ける,空いている,片付ける、消去する"
468,under,"…の下に,～の下に"
469,response,"反響,返答、返事,応答する、応答"
470,surprise,"驚かす,驚き"
471,verify,"…が正しいと確認する,実証する"
472,better,"より良い,より良い"
473,reliable,"信頼できる,信頼できる、頼りになる,信頼できる,信頼できる"
474,subscribe,"購読する,購読する、加入する,購読する"
475,questionnaire,"アンケート,アンケート,アンケート"
476,itinerary,"旅行計画,旅程表,旅程、旅程表"
477,degree,"学位,（大学の）学位、程度,学位、程度,程度"
478,certificate,"証明書,認定証、修了証,証明書,証明書"
479,deal with,処理する
480,highlight,"目立たせる,強調する、スポットを当てる／見どころ,〜を強調する"
481,neighborhood,"近所,近所、地域,地域"
482,prior to,…より前に
483,significant,"重要な,かなりの、大幅な、重要な,重要な,重要"
484,prescription,"処方箋,処方箋,処方箋"
485,eatery,食堂
486,be supposed to,…であると思う
487,eligible,"適任の,資格がある,資格のある,資格のある"
488,I’m afraid…,申し訳ありませんが…
489,broadcast,"放送番組／放送する,放送する,放送,放送"
490,definitely,"間違いなく,絶対に、間違いなく,確かに"
491,implement,"実行する,（計画や政策）を実行する,実行する"
492,on behalf of,"…を代表して,~を代表して"
493,finally,"ようやく,ついに、最終的に,ついに、最終的に,ついに"
494,exclusive,"独占的な,限定の、独占的な,独占的な,排他的な"
495,occur,"起こる,起こる、発生する、行われる,起こる,発生する"
496,predict,"予測する,予測する"
497,terminal,"発着ロビー,端末,ターミナル"
498,in the meantime,"それまで,その間に、話変わって"
499,affordable,"値段が手頃な,手頃な価格の、入手可能な,手ごろな、理にかなった"
500,ceiling,"天井,天井,天井"
501,major,"専攻科目／主要な,主な,主要な"
502,directory,"名簿,名簿、住所録,住所"
503,regularly,"定期的に,定期的に,定期的に,定期的に"
504,otherwise,"さもなければ,さもなければ,さもないと,そうでなければ"
505,depart,"出発する,（~を）出発する"
506,introduction,"導入,（人の）紹介、（物の）導入,紹介"
507,impact,"影響,影響,影響,影響"
508,worth,"…に値する,価値がある,価値のある"
509,decrease,"減少する,減少する,減少する"
510,beyond,"…の向こうに,～を超えて"
511,whenever,"…する時はいつでも,いつでも"
512,willing,"…してもかまわない,~することを嫌がらない、~する気がある"
513,college,"大学,(単科)大学,大学"
514,showcase,"ガラスケース,披露する／お披露目の場、ショーケース"
515,formal,"正式の,正式の、堅苦しい,形式の"
516,adjust,"調整する,調整する,〜を調節する"
517,relevant,"関連のある,関連した"
518,absolutely,"絶対に,完全に、間違いなく、まったく,完全に,確実に"
519,district,"地域,地区,地区,地域"
520,maximum,"最大量／最大数,最大"
521,cuisine,"料理,料理"
522,yield,"産出する,収益、利益"
523,approximate,およそ
524,clerk,"ホテルなどの係,事務員、受付係,事務員,係、フロント係"
525,fund,"基金／資金を提供する,資金を与える,資金"
526,decline,"断る／減少する,断る、下降する,〜を断る,減少"
527,autograph,有名人のサイン
528,particular,"特定の,特別な,特定の"
529,uniform,"制服,制服"
530,apologize,"謝罪する,おわびをする、謝罪する,謝罪する"
531,accessible,"行きやすい,到達できる、利用できる,入手できる"
532,instrument,"楽器,楽器、道具、器具,楽器,楽器"
533,photocopy,コピー
534,administrative,"管理の,管理の,管理の,行政"
535,contribute,"提供する／貢献する,貢献する、寄付する"
536,digest,要約／情報を消化する
537,classic,見事な／定番の
538,equally,"等しく,同じように、均等に"
539,enroll,"入学する,登録する、入会する、入学する,〜に登録する"
540,achievement,"達成,成果、業績,業績"
541,in writing,"文字で,書面で"
542,donate,"寄付する,寄付する"
543,decade,"10年間,10年、10年間"
544,temperature,"温度,温度,温度"
545,reflect,"映す,映し出す、反射する,〜を映す、〜を反映させる,反映する"
546,owe,借りている
547,normally,"ふつうは,普通に、正常に"
548,audience,"聴衆,聴衆、観客,聴衆,観客"
549,practical,"実践的な,実用的な、実践的な,実際の,実用的な"
550,hurry,"急ぐ,急い"
551,unique,"独特の,他にはない、独自の、特有の,独特な,ユニークな"
552,guarantee,"保証する,保証する／保証,〜を保証する,保証"
553,undergo,"経験する,経験する"
554,institute,"機関,制定する、始める,機関"
555,hardly,"ほとんど…ない,ほとんどない,ほとんど〜しない,ほとんど～ない"
556,outstanding,"傑出した／未払いの,傑出した、未払いの,優れた、目立った"
557,aside from,…は別として
558,inside,"…の中へ,内部"
559,baggage,"手荷物,手荷物,手荷物"
560,method,"方法,方法,方法,メソッド、方法"
561,in a row,"一列に,連続して"
562,profile,"プロフィール,人物紹介する／プロフィール,プロフィール・紹介,横顔、プロフィール"
563,emphasize,"強調する,~を強調する,～を強調する,〜を強調する"
564,handbook,入門書
565,satisfaction,"満足,満足,満足"
566,defect,"傷,欠陥、欠点,欠陥,欠陥"
567,moment,"瞬間,瞬間"
568,foundation,"基礎,土台、基礎,設立、基礎,基礎"
569,clarify,"明らかにする,明らかにする、はっきりさせる"
570,auditorium,講堂
571,exit,"出口,出口"
572,recipient,"受取人,受領者、受取人"
573,progress,"進歩,前進、進行,進捗状況"
574,decorate,飾る
575,guess,"推測する,推測する、推測"
576,unless,"…しない限り,~しない限り、~の場合を除き,～でない限り"
577,efficiency,"能率,効率の良さ,効率性,効率"
578,ladder,"はしご,はしご,はしご"
579,quick,"迅速な,速い"
580,workplace,"仕事場,職場"
